iso3,year,MAL2,ethn_scale,DM
ALB,2013,0.019765162840485573,0.08333333333333334,11.666666984558105
ALB,2017,0.013806374743580818,0.08333333333333334,11.666666984558105
ARG,2011,0.13931289315223694,0.14583333333333331,5.416666507720947
ARG,2013,0.1421653777360916,0.14583333333333331,5.291666507720947
ARG,2015,0.13486161828041077,0.140625,5.416666507720947
AUS,2010,0.02942744642496109,0.0,1.0
AUT,1999,0.028086991980671883,0.05555555555555555,17.22222137451172
AUT,2002,0.026356078684329987,0.05555555555555555,17.88888931274414
AUT,2006,0.03754590451717377,0.05555555555555555,17.0
AUT,2008,0.03827989846467972,0.05555555555555555,16.55555534362793
AUT,2013,0.05081059783697128,0.05555555555555555,16.0
BEL,1999,0.027977678924798965,0.04545454545454545,13.636363983154297
BEL,2003,0.032334454357624054,0.04545454545454545,13.636363983154297
BEL,2007,0.03157135844230652,0.04545454545454545,13.636363983154297
BEL,2010,0.03250429779291153,0.04545454545454545,13.636363983154297
BEL,2014,0.032758407294750214,0.04545454545454545,13.636363983154297
BEN,1995,0.0498555563390255,0.0,4.666666507720947
BEN,1999,0.055073197931051254,0.25,3.4583332538604736
BFA,2007,0.09063119441270828,0.0,2.133333444595337
BFA,2012,0.16933560371398926,0.0,2.7608695030212402
BFA,2012,0.16933560371398926,,
BFA,2015,0.16632327437400818,0.0,2.7608695030212402
BFA,2015,0.16632327437400818,,
BGD,1996,0.09763842076063156,0.010000000000000021,1.0
BGD,2001,0.09937967360019684,0.009999999999999993,1.0
BGR,2001,0.021943770349025726,0.14516129032258066,7.7419352531433105
BGR,2005,0.021760106086730957,0.14516129032258066,7.7419352531433105
BGR,2013,0.03417491540312767,0.14516129032258066,7.7419352531433105
BGR,2014,0.03628639504313469,0.12903225806451613,7.7419352531433105
BGR,2017,0.0,0.14516129032258066,7.7419352531433105
BIH,2018,0.22797174751758575,0.0,4.199999809265137
BOL,2009,0.30324575304985046,0.4421052631578947,1.5116279125213623
BRA,2010,0.09658695012331009,0.1296296296296296,19.0
BRA,2014,0.09996899962425232,0.1296296296296296,19.0
BRB,1999,0.055228158831596375,0.0,1.0
BRB,2003,0.026581838726997375,0.0,1.0
BTN,2013,0.13928455114364624,0.5149253731343284,1.0
BTN,2018,0.14024001359939575,0.4893617021276596,1.0
BWA,2014,0.08730543404817581,0.22807017543859648,1.0
CAN,2015,0.06516499072313309,0.2899408284023669,1.0
CHE,2015,0.029865873977541924,0.13461538461538464,7.692307472229004
CHL,2009,0.1440853476524353,0.1811594202898551,2.0
CHL,2013,0.16104787588119507,0.17142857142857146,2.0
CIV,2011,0.2672833502292633,0.1884816753926702,1.2460732460021973
CIV,2016,0.24610203504562378,0.19999999999999996,1.2439024448394775
COL,2014,0.1379285454750061,0.41666666666666663,4.611111164093018
COL,2014,0.1379285454750061,0.41666666666666663,4.611111164093018
COM,2015,0.17128537595272064,0.0,1.0
CPV,2011,0.059020258486270905,0.0,5.538461685180664
CPV,2016,0.0756993219256401,0.0,5.538461685180664
CRI,2010,0.02188664674758911,0.21428571428571427,8.142857551574707
CRI,2014,0.02154875546693802,0.21428571428571427,8.142857551574707
CYP,2001,0.014876402914524078,,9.333333015441895
CYP,2006,0.019517745822668076,,9.333333015441895
CYP,2011,0.015123587101697922,,9.333333015441895
CYP,2016,0.01475139707326889,,9.333333015441895
CZE,1996,0.03039882704615593,0.0,25.125
CZE,1998,0.021203119307756424,0.0,25.0
CZE,2002,0.02464531734585762,0.024390243902439022,14.285714149475098
CZE,2006,0.02246134914457798,0.024390243902439022,14.285714149475098
CZE,2010,0.026481321081519127,0.06097560975609755,14.285714149475098
CZE,2013,0.026379646733403206,0.07142857142857142,14.285714149475098
CZE,2017,0.02734750136733055,0.07142857142857142,14.285714149475098
DEU,1998,0.07515052706003189,0.003048780487804876,1.9447674751281738
DEU,1998,0.07515052706003189,0.003048780487804876,1.9447674751281738
DEU,2002,0.10781914740800858,0.0033444816053511722,1.914285659790039
DEU,2002,0.10781914740800858,0.0033444816053511722,1.914285659790039
DEU,2005,0.05997994542121887,0.0033444816053511722,1.9492063522338867
DEU,2005,0.05997994542121887,0.0033444816053511722,1.9492063522338867
DEU,2009,0.07817093282938004,0.0033444816053511722,1.9746031761169434
DEU,2009,0.07817093282938004,0.0033444816053511722,1.9746031761169434
DEU,2013,0.06105092912912369,0.0033444816053511722,2.0031745433807373
DEU,2013,0.06105092912912369,0.0033444816053511722,2.0031745433807373
DNK,1998,0.044059209525585175,0.0,10.29411792755127
DNK,2001,0.0697503611445427,0.09090909090909093,8.136363983154297
DNK,2001,0.0697503611445427,0.09090909090909093,8.136363983154297
DNK,2005,0.06470951437950134,0.09090909090909093,8.136363983154297
DNK,2005,0.06470951437950134,0.09090909090909093,8.136363983154297
DNK,2007,0.04913591966032982,0.13333333333333333,11.933333396911621
DNK,2007,0.04913591966032982,0.13333333333333333,11.933333396911621
DNK,2011,0.07485707849264145,0.13333333333333333,11.933333396911621
DNK,2011,0.07485707849264145,0.13333333333333333,11.933333396911621
DNK,2015,0.0407266728579998,0.16666666666666666,14.666666984558105
DOM,2010,0.10936939716339111,0.0,5.15625
DOM,2016,0.05925673246383667,0.0,5.5625
ECU,2013,0.14363983273506165,0.22058823529411764,3.914285659790039
ECU,2013,0.14363983273506165,0.22058823529411764,3.914285659790039
ESP,1996,0.09226858615875244,0.2522522522522522,6.730769157409668
ESP,2000,0.09279732406139374,0.2522522522522522,6.730769157409668
ESP,2004,0.09759866446256638,0.2522522522522522,6.730769157409668
ESP,2008,0.0987987294793129,0.2522522522522522,6.730769157409668
ESP,2011,0.09921982884407043,0.2522522522522522,6.730769157409668
ESP,2015,0.09960901737213135,0.2522522522522522,6.730769157409668
ESP,2016,0.09781171381473541,0.25961538461538464,6.730769157409668
ESP,2019,0.09906992316246033,0.2522522522522522,6.730769157409668
ESP,2019,0.09946026653051376,0.2522522522522522,6.730769157409668
EST,2003,0.057480551302433014,0.125,8.416666984558105
EST,2007,0.03281606733798981,0.125,6.25
EST,2011,0.04549206793308258,0.125,6.833333492279053
EST,2015,0.0895867720246315,0.125,8.416666984558105
FIN,1999,0.01977091282606125,0.2,13.333333015441895
FIN,1999,0.01977091282606125,0.2,13.333333015441895
FIN,2003,0.02126571536064148,0.2,13.333333015441895
FIN,2003,0.02126571536064148,0.2,13.333333015441895
FIN,2007,0.017907913774251938,0.2,13.333333015441895
FIN,2011,0.018242601305246353,0.2,13.333333015441895
FIN,2015,0.01827307976782322,0.23076923076923075,15.384614944458008
FIN,2015,0.01827307976782322,0.23076923076923075,15.384614944458008
FRA,1997,0.06760690361261368,0.052252252252252315,1.0
FRA,2002,0.0782572329044342,0.052252252252252315,1.0
FRA,2007,0.08200600743293762,0.0564516129032257,1.0
FRA,2012,0.06532283127307892,0.06065857885615256,1.0
FRA,2012,0.06532283127307892,0.06065857885615256,1.0
GBR,2001,0.04939069598913193,0.16691957511380864,1.0
GBR,2005,0.046916499733924866,0.1532507739938084,1.0
GBR,2010,0.04106637090444565,0.1492307692307694,1.0
GBR,2015,0.04230280965566635,0.1492307692307694,1.0
GBR,2015,0.04230280965566635,0.1492307692307694,1.0
GBR,2017,0.04441535100340843,0.14923076923076936,1.0
GBR,2017,0.04441535100340843,0.14923076923076936,1.0
GBR,2019,0.046167194843292236,0.14923076923076936,1.0
GEO,2016,0.017084462568163872,0.273972602739726,2.027027130126953
GHA,2012,0.1814592331647873,0.0,1.0
GHA,2016,0.17817671597003937,0.0,1.0
GMB,2007,0.24301521480083466,0.0,1.0
GMB,2017,0.2812345623970032,0.0,1.0
GNB,2014,0.12470449507236481,0.0,3.5172414779663086
GRC,1996,0.04226616770029068,0.044642857142857144,5.142857074737549
GRC,2000,0.04385523498058319,0.044642857142857144,5.142857074737549
GRC,2004,0.044496357440948486,0.044642857142857144,5.1785712242126465
GRC,2007,0.04731659218668938,0.044642857142857144,5.142857074737549
GRC,2009,0.046364571899175644,0.044642857142857144,5.142857074737549
GRC,2012,0.04820222035050392,0.044642857142857144,5.142857074737549
GRC,2012,0.04823654517531395,0.044642857142857144,5.142857074737549
GRC,2015,0.039117783308029175,0.044642857142857144,5.142857074737549
GRC,2015,0.03825053572654724,0.044642857142857144,5.142857074737549
GTM,2015,0.0381009541451931,0.15217391304347827,6.541666507720947
GTM,2015,0.0381009541451931,0.15217391304347827,6.541666507720947
GUY,2015,0.220049187541008,0.5,2.5
HND,2013,0.06205824762582779,0.1111111111111111,7.111111164093018
HND,2017,0.07781806588172913,0.1111111111111111,7.111111164093018
HRV,2000,0.0782056599855423,0.3125,9.4375
HRV,2000,0.0782056599855423,0.3125,9.4375
HRV,2003,0.09563686698675156,0.3529411764705882,8.941176414489746
HRV,2003,0.09563686698675156,0.3529411764705882,8.941176414489746
HRV,2007,0.0970626026391983,0.33333333333333337,9.199999809265137
HRV,2007,0.0970626026391983,0.33333333333333337,9.199999809265137
HRV,2011,0.09534072130918503,0.4,8.199999809265137
HRV,2011,0.09534072130918503,0.4,8.199999809265137
HRV,2015,0.06497426331043243,0.33333333333333337,9.066666603088379
HRV,2015,0.06497426331043243,0.33333333333333337,9.066666603088379
HRV,2016,0.06249215453863144,0.3529411764705882,9.0
HRV,2016,0.06249215453863144,0.3529411764705882,9.0
HUN,1998,0.07423597574234009,0.06122448979591837,1.5510203838348389
HUN,2002,0.07873214036226273,0.06122448979591837,1.6122448444366455
HUN,2006,0.09374819695949554,0.06122448979591837,1.6428571939468384
HUN,2010,0.11037538945674896,0.06122448979591837,1.6479592323303223
HUN,2014,0.017046751454472542,0.06132075471698111,1.8598130941390991
HUN,2014,0.017046751454472542,0.06132075471698111,1.8598130941390991
IND,2014,0.061659201979637146,0.029465930018416225,1.0
IRL,1997,0.024375084787607193,0.0,4.04878044128418
IRL,2002,0.029286857694387436,0.0,3.952380895614624
IRL,2007,0.038932036608457565,0.0,3.8604650497436523
IRL,2011,0.043631087988615036,0.0,3.8604650497436523
IRL,2016,0.03698844835162163,0.0,3.924999952316284
ISL,2016,0.09362823516130447,0.0,10.5
ISL,2017,0.09317933022975922,0.0,10.5
ITA,2001,0.0381249263882637,0.04332129963898918,5.961538314819336
ITA,2006,0.012627371586859226,0.125,23.730770111083984
ITA,2008,0.012433722615242004,0.125,23.730770111083984
ITA,2013,0.013745845295488834,0.125,23.730770111083984
ITA,2018,0.06969866156578064,0.03879310344827586,2.6582279205322266
ITA,2018,0.06969866156578064,0.03879310344827586,2.6582279205322266
JAM,1997,0.07562899589538574,0.0,1.0
JAM,2002,0.0742444097995758,0.0,1.0
JAM,2007,0.09391143172979355,0.0,1.0
JAM,2011,0.07642463594675064,0.0,1.0
JAM,2016,0.07753747701644897,0.0,1.0
JAM,2020,0.07723978906869888,0.0,1.0
JPN,2009,0.0664275512099266,0.006430868167202592,1.5434083938598633
JPN,2012,0.07146081328392029,0.006430868167202592,1.5434083938598633
JPN,2014,0.0705702155828476,0.006535947712418317,1.5522875785827637
KEN,1997,0.1741098165512085,0.41428571428571415,1.0
KEN,2002,0.1710444539785385,0.41428571428571415,1.0
KEN,2007,0.17992626130580902,0.20673076923076894,1.0
KOR,2012,0.08372881263494492,0.0,1.214574933052063
KOR,2012,0.08372881263494492,0.0,1.214574933052063
LKA,2015,0.05485708266496658,0.38636363636363635,8.909090995788574
LKA,2020,0.37111109495162964,0.38636363636363635,9.782608985900879
LSO,2012,0.03633587807416916,0.0,1.4814814329147339
LSO,2015,0.03628852590918541,0.0,1.4814814329147339
LSO,2017,0.03568028286099434,0.0,1.4814814329147339
LTU,2000,0.015300466679036617,0.1056338028169014,1.9583333730697632
LTU,2000,0.015300466679036617,0.1056338028169014,1.9583333730697632
LTU,2004,0.019041258841753006,0.1056338028169014,1.9583333730697632
LTU,2004,0.019041258841753006,0.1056338028169014,1.9583333730697632
LTU,2008,0.023953458294272423,0.1056338028169014,1.9583333730697632
LTU,2008,0.023953458294272423,0.1056338028169014,1.9583333730697632
LTU,2012,0.027960091829299927,0.1056338028169014,1.9583333730697632
LVA,1998,0.00504690408706665,0.2,20.0
LVA,2002,0.00705815851688385,0.2,20.0
LVA,2006,0.00583803653717041,0.2,20.0
LVA,2010,0.008881427347660065,0.2,20.0
LVA,2011,0.0066164955496788025,0.2,20.0
LVA,2014,0.0076643601059913635,0.2,20.0
MEX,2009,0.04167019575834274,0.08833333333333337,1.6393442153930664
MEX,2009,0.04167019575834274,0.08833333333333337,1.6393442153930664
MEX,2012,0.14978915452957153,0.09186746987951805,1.6393442153930664
MEX,2012,0.14978915452957153,0.09186746987951805,1.6393442153930664
MEX,2018,0.20000000298023224,0.09487951807228921,1.6611295938491821
MEX,2018,0.20000000298023224,0.09487951807228921,1.6611295938491821
MKD,2014,0.024882644414901733,0.16666666666666669,13.666666984558105
MKD,2014,0.024882644414901733,0.16666666666666669,13.666666984558105
MLT,1996,0.008794132620096207,0.0,5.0
MLT,1998,0.012754194438457489,0.0,5.0
MLT,2003,0.016071651130914688,0.0,5.0
MLT,2008,0.009652800858020782,0.0,5.0
MLT,2013,0.014529768377542496,0.0,5.0
MLT,2017,0.01326964795589447,0.0,5.0
MNG,2012,0.15426819026470184,0.019230769230769242,1.8461538553237915
MOZ,2014,0.0249327365309,0.22727272727272727,22.545454025268555
MUS,2014,0.08104431629180908,0.0,2.952380895614624
MYS,2018,0.17468486726284027,0.2972972972972967,1.0
NOR,2013,0.0335124209523201,0.0,8.894737243652344
NOR,2017,0.03963838517665863,0.0,8.894737243652344
NZL,2014,0.0072722951881587505,0.09859154929577466,1.6805555820465088
NZL,2014,0.0072722951881587505,0.09859154929577466,1.6805555820465088
PAK,2002,0.07181911170482635,0.2757352941176475,1.0
PAK,2008,0.09175655990839005,0.26966292134831527,1.0
PAK,2013,0.08193022012710571,0.16292134831460614,1.0
PER,2011,0.059166744351387024,0.6346153846153846,5.0
POL,1997,0.02030576393008232,0.019230769230769242,7.519230842590332
POL,2001,0.01451144926249981,0.02439024390243902,11.219511985778809
POL,2005,0.01726669631898403,0.02439024390243902,11.219511985778809
POL,2007,0.020241666585206985,0.02439024390243902,11.219511985778809
POL,2011,0.015268482267856598,0.02439024390243902,11.219511985778809
POL,2015,0.017522532492876053,0.02439024390243902,11.219511985778809
PRT,1999,0.012544173747301102,0.0,11.300000190734863
PRT,2002,0.016614604741334915,0.0,11.300000190734863
PRT,2005,0.016608523204922676,0.0,11.300000190734863
PRT,2009,0.023232221603393555,0.0,11.300000190734863
PRT,2011,0.02127487026154995,0.0,11.300000190734863
PRY,2018,0.0554744154214859,0.3055555555555556,4.44444465637207
ROU,2000,0.03207666426897049,0.19047619047619047,8.214285850524902
ROU,2004,0.03683032840490341,0.1904761904761905,7.61904764175415
ROU,2012,0.06765832006931305,0.1713881019830028,1.0
ROU,2012,0.06765832006931305,0.1713881019830028,1.0
ROU,2016,0.02640235610306263,0.19047619047619047,7.255814075469971
ROU,2016,0.02640235610306263,0.19047619047619047,7.255814075469971
RUS,2016,0.02977953664958477,0.1629464285714285,1.9911504983901978
RUS,2016,0.02977953664958477,0.1629464285714285,1.9911504983901978
RUS,2016,0.02977953664958477,,
SEN,2012,0.2071424424648285,0.0,3.2608695030212402
SEN,2012,0.2071424424648285,,
SLB,2006,0.19835764169692993,0.0,1.0
SLB,2019,0.13665957748889923,0.0,1.0
SLV,2012,0.03387674689292908,0.10714285714285714,6.0
SLV,2015,0.035495154559612274,0.10714285714285714,6.0
SVN,2000,0.08606017380952835,0.04444444444444444,1.0
SVN,2004,0.0965859442949295,0.04444444444444444,1.0
SVN,2008,0.10034074634313583,0.04444444444444444,1.0
SVN,2014,0.1045691967010498,0.04444444444444444,1.0
SWE,1998,0.030236029997467995,0.0,12.034482955932617
SWE,2002,0.019967827945947647,0.0,12.034482955932617
SWE,2006,0.034703075885772705,0.0,12.034482955932617
SWE,2010,0.03750167042016983,0.0,12.034482955932617
SWE,2014,0.03928045183420181,0.0,12.034482955932617
TGO,2013,0.20995616912841797,0.0,3.0333333015441895
TTO,2015,0.026856381446123123,0.0,1.0
TTO,2015,0.026856381446123123,0.0,1.0
TTO,2020,0.029424887150526047,0.0,1.0
TUN,2011,0.08378978073596954,0.0,7.346153736114502
TUN,2014,0.07220222800970078,0.0,6.5757575035095215
